Period,Revenue,nominal GDP (million)
1,"10,564,531"," 3,670,889.00 "
2,"10,754,359"," 3,670,889.00 "
3,"11,703,372"," 3,670,889.00 "
4,"11,446,799"," 3,721,253.00 "
5,"11,059,708"," 3,721,253.00 "
6,"11,693,245"," 3,721,253.00 "
7,"12,870,356"," 3,877,352.00 "
8,"13,029,532"," 3,877,352.00 "
9,"11,468,525"," 3,877,352.00 "
10,"11,822,554"," 4,001,234.00 "
11,"11,858,259"," 4,001,234.00 "
12,"11,980,632"," 4,001,234.00 "
13,"12,044,641"," 3,864,177.00 "
14,"10,570,968"," 3,864,177.00 "
15,"12,362,021"," 3,864,177.00 "
16,"12,354,434"," 3,966,585.00 "
17,"12,402,361"," 3,966,585.00 "
18,"12,529,393"," 3,966,585.00 "
19,"13,963,321"," 4,137,478.00 "
20,"13,704,451"," 4,137,478.00 "
21,"11,926,698"," 4,137,478.00 "
22,"12,642,413"," 4,289,807.00 "
23,"12,356,561"," 4,289,807.00 "
24,"12,982,141"," 4,289,807.00 "
25,"11,611,712"," 4,215,980.00 "
26,"12,852,535"," 4,215,980.00 "
27,"12,697,303"," 4,215,980.00 "
28,"12,125,779"," 4,157,711.00 "
29,"11,853,265"," 4,157,711.00 "
30,"11,638,764"," 4,157,711.00 "
31,"13,183,419"," 4,286,649.00 "
32,"12,800,438"," 4,286,649.00 "
33,"11,073,818"," 4,286,649.00 "
34,"12,104,592"," 4,394,740.00 "
35,"11,359,458"," 4,394,740.00 "
36,"11,739,349"," 4,394,740.00 "
37,"11,558,434"," 4,318,253.00 "
38,"11,876,002"," 4,318,253.00 "
39,"11,557,051"," 4,318,253.00 "
40,"11,295,081"," 4,258,596.00 "
41,"10,948,582"," 4,258,596.00 "
42,"11,566,245"," 4,258,596.00 "
43,"12,853,998"," 4,393,874.00 "
44,"12,463,097"," 4,393,874.00 "
45,"11,232,306"," 4,393,874.00 "
46,"11,729,458"," 4,584,545.00 "
47,"11,498,843"," 4,584,545.00 "
48,"12,468,642"," 4,584,545.00 "
49,"12,616,260"," 4,405,269.00 "
50,"11,010,984"," 4,405,269.00 "
51,"12,176,888"," 4,405,269.00 "
52,"12,669,255"," 4,306,257.00 "
53,"12,734,493"," 4,306,257.00 "
54,"12,719,450"," 4,306,257.00 "
55,"14,264,345"," 4,556,280.00 "
56,"13,904,466"," 4,556,280.00 "
57,"12,387,598"," 4,556,280.00 "
58,"14,054,891"," 4,715,541.00 "
59,"13,406,607"," 4,715,541.00 "
60,"14,191,727"," 4,715,541.00 "
61,"12,672,470"," 4,498,784.00 "
62,"13,134,569"," 4,498,784.00 "
63,"13,847,806"," 4,498,784.00 "
64,"14,058,611"," 4,482,674.00 "
65,"13,209,492"," 4,482,674.00 "
66,"14,077,976"," 4,482,674.00 "
67,"15,793,567"," 4,597,982.00 "
68,"15,285,557"," 4,597,982.00 "
69,"14,271,465"," 4,597,982.00 "
70,"14,767,395"," 4,795,582.00 "
71,"14,483,456"," 4,795,582.00 "
72,"15,250,916"," 4,795,582.00 "
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
